ObjectID,Title,Artist,Date,Source,Department,IsHighlight,ImageURL
"36492","Storm below Mount Fuji (Sanka no haku u), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Met Museum","Asian Art","false","https://images.metmuseum.org/CRDImages/as/original/DP140976.jpg"
"36493","Ejiri in Suruga Province (Sunshū Ejiri), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Met Museum","Asian Art","false","https://images.metmuseum.org/CRDImages/as/original/DP140977.jpg"
"36494","View from the Other Side of Fuji from the Minobu River (Minobugawa ura Fuji), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Met Museum","Asian Art","false","https://images.metmuseum.org/CRDImages/as/original/DP140978.jpg"
"36495","Reflection in Lake at Misaka in Kai Province (Kōshū Misaka suimen), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Met Museum","Asian Art","false","https://images.metmuseum.org/CRDImages/as/original/DP140993.jpg"
"36496","Shichirigahama in Sagami Province (Sōshū Shichirigahama), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Met Museum","Asian Art","false","https://images.metmuseum.org/CRDImages/as/original/DP140979.jpg"
"36497","Tama River in Musashi Province (Bushū Tamagawa), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Met Museum","Asian Art","false","https://images.metmuseum.org/CRDImages/as/original/DP140980.jpg"
"36498","The Lake at Hakone in Sagami Province (Sōshū Hakone kosui), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Met Museum","Asian Art","false","https://images.metmuseum.org/CRDImages/as/original/DP140992.jpg"
"437984","La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930)","Vincent van Gogh","1889","Met Museum","European Paintings","false","https://images.metmuseum.org/CRDImages/ep/original/DP-19279-001.jpg"
"438012","Bouquet of Chrysanthemums","Auguste Renoir","1881","Met Museum","European Paintings","false","https://images.metmuseum.org/CRDImages/ep/original/DT1877.jpg"
"382972","Interior of a Church, part XIV, plate 70 from ""Liber Studiorum""","Joseph Mallord William Turner","January 1, 1819","Met Museum","Drawings and Prints","false","https://images.metmuseum.org/CRDImages/dp/original/DP821585.jpg"
