ObjectID,Title,Artist,Date,Department,Image URL
"36497","Tama River in Musashi Province (Bushū Tamagawa), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Asian Art","https://images.metmuseum.org/CRDImages/as/original/DP140980.jpg"
"36498","The Lake at Hakone in Sagami Province (Sōshū Hakone kosui), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Katsushika Hokusai","ca. 1830–32","Asian Art","https://images.metmuseum.org/CRDImages/as/original/DP140992.jpg"
"435809","The Harvesters","Pieter Bruegel the Elder","1565","European Paintings","https://images.metmuseum.org/CRDImages/ep/original/DP119115.jpg"
"436535","Wheat Field with Cypresses","Vincent van Gogh","1889","European Paintings","https://images.metmuseum.org/CRDImages/ep/original/DT1567.jpg"
"436105","The Death of Socrates","Jacques Louis David","1787","European Paintings","https://images.metmuseum.org/CRDImages/ep/original/DP-13139-001.jpg"
"437984","La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930)","Vincent van Gogh","1889","European Paintings","https://images.metmuseum.org/CRDImages/ep/original/DP-19279-001.jpg"
"438012","Bouquet of Chrysanthemums","Auguste Renoir","1881","European Paintings","https://images.metmuseum.org/CRDImages/ep/original/DT1877.jpg"
"459123","Madame Roulin and Her Baby","Vincent van Gogh","1888","Robert Lehman Collection","https://images.metmuseum.org/CRDImages/rl/original/DT3154.jpg"
"459124","Masqueraders","Raimundo de Madrazo y Garreta","1875–78","Robert Lehman Collection","https://images.metmuseum.org/CRDImages/rl/original/DP-34512-001.jpg"
"459125","The Lamentation","Netherlandish","ca. 1550","Robert Lehman Collection","https://images.metmuseum.org/CRDImages/rl/original/DP-19531-094.jpg"
