url,artist,artistSlug,title,artveeId,thumbnail
"https://artvee.com/dl/zodiaque-la-plume/","Alphonse Mucha","alphonse-mucha","Zodiaque (La Plume)","zodiaque-la-plume","https://mdl.artvee.com/ft/900246il.jpg"
"https://artvee.com/dl/cycles-perfecta/","Alphonse Mucha","alphonse-mucha","Cycles Perfecta","cycles-perfecta","https://mdl.artvee.com/ft/900231il.jpg"
"https://artvee.com/dl/gismonda/","Alphonse Mucha","alphonse-mucha","Gismonda","gismonda","https://mdl.artvee.com/ft/900233il.jpg"
"https://artvee.com/dl/ilsee-princesse-de-tripoli/","Alphonse Mucha","alphonse-mucha","Ilsee, Princesse de Tripoli","ilsee-princesse-de-tripoli","https://mdl.artvee.com/ft/900235il.jpg"
"https://artvee.com/dl/job/","Alphonse Mucha","alphonse-mucha","Job","job","https://mdl.artvee.com/ft/900236il.jpg"
"https://artvee.com/dl/lorenzaccio/","Alphonse Mucha","alphonse-mucha","Lorenzaccio","lorenzaccio","https://mdl.artvee.com/ft/900238il.jpg"
"https://artvee.com/dl/untitled-plate-13/","Alphonse Mucha","alphonse-mucha","Untitled Plate 13","untitled-plate-13","https://mdl.artvee.com/ft/900242il.jpg"
"https://artvee.com/dl/bieres-de-la-meuse/","Alphonse Mucha","alphonse-mucha","Bières De La Meuse","bieres-de-la-meuse","https://mdl.artvee.com/ft/11007po.jpg"
"https://artvee.com/dl/bleuze-hadancourt-parfumeur/","Alphonse Mucha","alphonse-mucha","Bleuze-Hadancourt Parfumeur","bleuze-hadancourt-parfumeur","https://mdl.artvee.com/ft/11008po.jpg"
"https://artvee.com/dl/la-dame-aux-camelias/","Alphonse Mucha","alphonse-mucha","La Dame Aux Camélias","la-dame-aux-camelias","https://mdl.artvee.com/ft/11010po.jpg"
"https://artvee.com/dl/exposition-universelles-et-internationale-de-st-louis-etats-unis-du-30-avril-au-30-novembre/","Alphonse Mucha","alphonse-mucha","Exposition Universelles Et Internationale De St. Louis (Etats Unis) Du 30 Avril Au 30 Novembre","exposition-universelles-et-internationale-de-st-louis-etats-unis-du-30-avril-au-30-novembre","https://mdl.artvee.com/ft/11918po.jpg"
"https://artvee.com/dl/imprimerie-cassan-fils-fondee-en-1851-toulouse/","Alphonse Mucha","alphonse-mucha","Imprimerie Cassan Fils, Fondée En 1851, Toulouse","imprimerie-cassan-fils-fondee-en-1851-toulouse","https://mdl.artvee.com/ft/11919po.jpg"
"https://artvee.com/dl/leslie-carter/","Alphonse Mucha","alphonse-mucha","Leslie Carter","leslie-carter","https://mdl.artvee.com/ft/11923po.jpg"
"https://artvee.com/dl/benedictine/","Alphonse Mucha","alphonse-mucha","Bénédictine","benedictine","https://mdl.artvee.com/ft/11924po.jpg"
"https://artvee.com/dl/bieres-de-la-meuse-2/","Alphonse Mucha","alphonse-mucha","Bières De La Meuse","bieres-de-la-meuse-2","https://mdl.artvee.com/ft/11925po.jpg"
